-48958.	-11	6	9788379611249			Ksiazka Make Life Harder			http://www.ceneo.pl/34375650
-48115.	-5.	4	9788308054208		twarda>	Ksiazka Mala Zaglada	Anna Janko	15/01/1	http://www.ceneo.pl/34517606
-46152.	10.	4	9788323336884		miekka>	Ksiazka Kondotier	Georges Perec	2014	http://www.ceneo.pl/30315470
-44670.	6.3	6	9788371361074			Ksiazka Zbrodnie na Everescie			http://www.ceneo.pl/39719875
-43884.	-9.	6	9788308054994		miekka>	Ksiazka Wspolczesne maniery. Jak zachowywac sie w	Liv Tyler; Dorothea Johnson	15/02/2	http://www.ceneo.pl/35339166
-42081.	5.0	1	9788324155361			Ksiazka Czlowiek ktorego przesladowal czas / Trzyn			http://www.ceneo.pl/39620100
-41589.	19.	2	9788324026685		miekka>	Lekkosc	Anna Starmach; Maria Kruczek	2015	http://www.ceneo.pl/35978985
-40405.	25.	6	9788379858453			Ksiazka Biale kosci			http://www.ceneo.pl/44351870
-36227.	20.	4	9788364360121			Zywe trupy 19			http://www.ceneo.pl/28714255
-34987.	-26	1	9788324016488			Jutro 3. W objeciach chlodu	John Marsden	2011	http://www.ceneo.pl/34616988
-33755.	19.	1	9788324031481		twarda	Pekniete miasto. Bieslan	Jerzy Wlazlo	14/08/2	http://www.ceneo.pl/31132697
-32961.	5.6	2	9780521656214			Ksiazka Death in the Dojo			http://www.ceneo.pl/7730115
-32726.	39.	6	9788378859024			Ksiazka Chudszy			http://www.ceneo.pl/38427348
-31059.	-4.	6	9788327437860			Niezwykle zwierzeta Czyj to odglos?			http://www.ceneo.pl/43210511
-30605.	4.4	5	9780099590392			Ksiazka Wind Pinball			http://www.ceneo.pl/45046464
-30472.	19.	3	9781405920834			Ksiazka Palace Of Treason Matthews Jason			http://www.ceneo.pl/46780298
-29160.	28.	3	9788362945412			Basnie japonskie			http://www.ceneo.pl/43514807
-28629.	6.8	3	9781444707861			Ksiazka It			http://www.ceneo.pl/22283397
-27467.	46.	5	9788328026094			Ksiazka Siostry			http://www.ceneo.pl/45043827
-27026.	3.0	1	9780553293395			Naked Sun			http://www.ceneo.pl/29219351
-26921.	4.0	1	9780553293388			Foundations Edge			http://www.ceneo.pl/23394421
-24772.	27.	2	9788328102569		twarda	Sandman. Tom 7. Ulotne zycia	Rok wydania 14/10/06		http://www.ceneo.pl/32618554
-23253.	14.	2	9780141346816			Percy Jackson and the Titans Curse			http://www.ceneo.pl/29220976
-23076.	46.	3	9788308061756			Powrot z gwiazd			http://www.ceneo.pl/45530003
-22933.	34.	6	9788324026074			Ksiazka Duch			http://www.ceneo.pl/32198361
-22077.	-4.	4	9788379641338			Komornik Tom 1			http://www.ceneo.pl/44200728
-21943.	25.	5	9788324030422			Szpiedzy PRL			http://www.ceneo.pl/32174487
-21583.	7.4	4	9788328021228		miekka>	Ksiazka Czastki elementarne	Michel Houellebecq	15/09/2	http://www.ceneo.pl/38462129
-21478.	30.	6	9788327156303			Ksiazka Zimowa opowiesc / Poskromienie zlosnicy /			http://www.ceneo.pl/47649017
-21058.	3.7	2	9780521783637			Ksiazka CER 5 East 43rd Street			http://www.ceneo.pl/15043844
-19325.	-17	4	9788308054796		miekka>	Dante na tropie	Agnieszka Olejnik	15/02/0	http://www.ceneo.pl/34260163
-18518.	24.	3	9788327436108		calokartonowa	Kraina Lodu. Balwankowa piosenka			http://www.ceneo.pl/41016924
-18518.	41.	6	9788324025237		miekka>	Gastrofaza	Roach	2014	http://www.ceneo.pl/28333456
-17931.	36.	1	9788327152299			Pakiet. Wolanie Kukulki. Jedwadnik			http://www.ceneo.pl/41577191
-17317.	-6.	2	9788378858232			Ksiazka Sniadanie u Tiffanyego			http://www.ceneo.pl/27655688
-16708.	25.	2	9780723293088			The Snowman And The Snowdog Finger Puppet Book			http://www.ceneo.pl/34672544
-16652.	9.7	2	9788378855309			Szesc lat pozniej			http://www.ceneo.pl/32574415
-16616.	9.0	3	9788327154439			Pakiet: Krew na sniegu / Wiecej krwi			http://www.ceneo.pl/41162296
-15782.	21.	6	9788362827039		graficzna	Ksiazka Helikopter w ogniu			http://www.ceneo.pl/29302701
-14725.	49.	3	9780140569322			VERY HUNGRY CATERPILLAR			http://www.ceneo.pl/4858894
-14604.	40.	4	9788380152847		pudelko	Pakiet Pm Nowak. Ani Zadnej Rzeczy; Na Pokuszenie;	Nowak	2015	http://www.ceneo.pl/41580614
-13910.	37.	3	9788375543520			Ksiazka Drugie zycie pana Roosa			http://www.ceneo.pl/43434832
-13315.	-1.	3	9788323132141			Ksiazka Tekst wobec Zaglady			http://www.ceneo.pl/44804328
-13123.	8.3	1	9788379641260			Zapach szkla			http://www.ceneo.pl/42736166
-12479.	-13	1	9788374142823			Ksiazka Chod?cie idziemy			http://www.ceneo.pl/40189198
-11966.	7.4	2	9788378354833		alt="dz	Podarunek z Teksasu			http://www.ceneo.pl/43691964
-11123.	-27	1	9782290004449			Ksiazka LAlchimiste			http://www.ceneo.pl/2715836
-10787.	26.	1	9788392416104			Ksiazka z innej strony zwierciadla			http://www.ceneo.pl/1264571
-10295.	29.	2	9788372294166			Ksiazka Powod by oddychac			http://www.ceneo.pl/32577177
-10291.	38.	6	9788392970811			Ksiazka Legionista dyplomata uczony			http://www.ceneo.pl/27619225
-10278.	17.	4	9788310127372		miekka>	Ksiazka Noc nad Samborzewem	Wieslawa Bancarzewska	15/07/1	http://www.ceneo.pl/38135805
-10058.	40.	4	9788365307262			Ja nie umieram			http://www.ceneo.pl/47241042
-9439.1	14.	1	9788324028788			Ostatnie dni dyktatorow			http://www.ceneo.pl/27979049
-8383.8	18.	2	9788361319658			Fatale Tom 4			http://www.ceneo.pl/43877805
-8244.9	16.	1	9788388481567			Carskie sieroty			http://www.ceneo.pl/1265857
-8209.5	34.	4	9788324039180			Matylda			http://www.ceneo.pl/41119101
-7901.4	46.	3	9788385239574			Ksiazka Operacja twierdza alpejska			http://www.ceneo.pl/8175710
-7782.2	9.2	5	9788379641635			Pomnik cesarzowej Achai Tom 5			http://www.ceneo.pl/44414675
-6349.4	13.	1	9788324152414			Zamachowiec			http://www.ceneo.pl/32432773
-5970.9	6.4	1	9788320544039			Ksiazka z teki Grottgera			http://www.ceneo.pl/8966749
-5925.6	21.	6	9788379995486			Ksiazka Pacjent			http://www.ceneo.pl/41119089
-5876.3	41.	1	9788378593560		miekka>	Ksiazka Ksiega wszechrzeczy	V. G. Soque	14/11/2	http://www.ceneo.pl/34751720
-5848.7	-27	1	9788378185413			Solomon Kane. Okrutne przygody			http://www.ceneo.pl/31895572
-5813.1	41.	3	9788378595922			Nieprzypadkowa ofiara			http://www.ceneo.pl/43290388
-5802.6	41.	3	9788378595236			Ksiazka Skok w przepasc			http://www.ceneo.pl/38600134
-5733.4	26.	2	9788387122294			Ksiazka Godzina barrakudy			http://www.ceneo.pl/8966718
-5725.5	42.	3	9788378592044			Ksiazka Szachownica smierci			http://www.ceneo.pl/31369409
-5725.5	42.	3	9788378593027			Ksiazka Nie moje niebo			http://www.ceneo.pl/31369452
-5704.5	42.	3	9788378593744		miekka>	Ksiazka Czarna roza	Marta A. Winiarska	14/11/2	http://www.ceneo.pl/34751711
-5701.7	42.	3	9788378590484			Ksiazka Trudno jest byc dobrym			http://www.ceneo.pl/31369413
-5701.7	42.	3	9788378592877			Ksiazka Teraz rozumiem swoja matke			http://www.ceneo.pl/31369456
-5701.7	42.	3	9788378592921			Ksiazka Oszukana			http://www.ceneo.pl/31369457
